Objects
200
,,Global Angle bj_c1_bh:bj_c1_bh,,,,,,Global Angle bj_c1_cwm:bj_c1_cwm,,,,,,Global Angle bj_c1_h:bj_c1_h,,,,,,Global Angle bj_c1_p:bj_c1_p,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
67,0,-0.015867,-0.780276,-0.004645,-429.569641,103.449745,1799.158936,0.006577,-0.007957,-0.015192,-367.453033,91.663521,900.263062,-0.017928,0.045575,-0.035240,-413.653717,180.378128,1146.657959,,,,,,
68,0,-0.015865,-0.780313,-0.004658,-429.587128,103.448120,1799.162842,0.005597,-0.010882,-0.011956,-367.155548,91.574432,900.307129,-0.018127,0.045380,-0.035198,-413.664490,180.378647,1146.642212,,,,,,
69,0,-0.015561,-0.780216,-0.004815,-429.572388,103.449348,1799.168335,0.006734,-0.007790,-0.015556,-367.482208,91.664909,900.258423,-0.018180,0.045606,-0.035130,-413.646057,180.383759,1146.660034,,,,,,
70,0,-0.015600,-0.780303,-0.004734,-429.575195,103.442574,1799.166382,0.006775,-0.007488,-0.015276,-367.484650,91.662971,900.258667,-0.017946,0.045613,-0.035262,-413.658813,180.387436,1146.657837,,,,,,
71,0,-0.015597,-0.780498,-0.004636,-429.579163,103.451500,1799.165771,0.006629,-0.007820,-0.015212,-367.475677,91.652260,900.262146,-0.018135,0.045576,-0.034966,-413.677429,180.358963,1146.649536,,,,,,
72,0,-0.015772,-0.780367,-0.004310,-429.573944,103.434525,1799.161987,0.006462,-0.008000,-0.014916,-367.466553,91.646873,900.268982,-0.018080,0.045523,-0.034999,-413.669220,180.359665,1146.649902,,,,,,
73,0,-0.015848,-0.780361,-0.004387,-429.586731,103.453796,1799.159790,0.006514,-0.007997,-0.015020,-367.454132,91.643784,900.271667,-0.018023,0.045680,-0.034854,-413.667664,180.339340,1146.650391,,,,,,
74,0,-0.015768,-0.780187,-0.004886,-429.569366,103.443520,1799.160522,0.005568,-0.011163,-0.011755,-367.132538,91.560043,900.317932,-0.017916,0.045801,-0.034977,-413.666107,180.352707,1146.661987,,,,,,
75,0,-0.015776,-0.780418,-0.004789,-429.582153,103.451370,1799.164673,0.005471,-0.010953,-0.012006,-367.167725,91.543945,900.319641,-0.018095,0.045767,-0.034861,-413.671814,180.350998,1146.664917,,,,,,
76,0,-0.015729,-0.780587,-0.004520,-429.574066,103.437218,1799.156372,0.006739,-0.008064,-0.014932,-367.454681,91.642975,900.262512,-0.018242,0.045404,-0.034794,-413.681366,180.351318,1146.645752,,,,,,
77,0,-0.015743,-0.780362,-0.004251,-429.575104,103.448456,1799.166992,0.005430,-0.010566,-0.011704,-367.146851,91.545143,900.329285,-0.018000,0.045713,-0.034864,-413.688141,180.341263,1146.658936,,,,,,
78,0,-0.015476,-0.780328,-0.004663,-429.577515,103.441177,1799.169922,0.006750,-0.007886,-0.014741,-367.462006,91.644417,900.261658,-0.018123,0.045565,-0.034740,-413.682098,180.339539,1146.650146,,,,,,
79,0,-0.015772,-0.780471,-0.004541,-429.574249,103.438957,1799.166626,0.006739,-0.007871,-0.014714,-367.464203,91.633888,900.254700,-0.017990,0.045453,-0.034562,-413.704163,180.331253,1146.653687,,,,,,
80,0,-0.015671,-0.780206,-0.004789,-429.572723,103.441772,1799.169556,0.006599,-0.007756,-0.014329,-367.449371,91.638428,900.267029,-0.018122,0.045481,-0.034532,-413.684784,180.305328,1146.645020,,,,,,
81,0,-0.016284,-0.780853,-0.003633,-429.527039,103.213409,1799.156006,0.005644,-0.010723,-0.011867,-367.165833,91.533577,900.318604,-0.018067,0.045389,-0.034599,-413.701172,180.326111,1146.638550,,,,,,
82,0,-0.015735,-0.780667,-0.004594,-429.590149,103.440132,1799.163940,0.006706,-0.007581,-0.014622,-367.463409,91.646896,900.276367,-0.018253,0.045694,-0.034637,-413.680481,180.318542,1146.650879,,,,,,
83,0,-0.015743,-0.780371,-0.004692,-429.575836,103.442375,1799.160156,0.006652,-0.008183,-0.014619,-367.449677,91.632111,900.263245,-0.018092,0.045692,-0.034576,-413.688690,180.311188,1146.649658,,,,,,
84,0,-0.015707,-0.780371,-0.004628,-429.576599,103.442581,1799.160400,0.006852,-0.007630,-0.014784,-367.483978,91.651382,900.261414,-0.018314,0.045651,-0.034622,-413.703369,180.326782,1146.644531,,,,,,
85,0,-0.015801,-0.780341,-0.004573,-429.580963,103.432953,1799.155396,0.006398,-0.007795,-0.014355,-367.454559,91.641693,900.269836,-0.018102,0.045655,-0.034518,-413.706116,180.305664,1146.649414,,,,,,
86,0,-0.015749,-0.780471,-0.004118,-429.583557,103.434143,1799.168823,0.006866,-0.007841,-0.014493,-367.470245,91.665466,900.261475,-0.018103,0.045750,-0.034460,-413.709656,180.300430,1146.654785,,,,,,
87,0,-0.015452,-0.780176,-0.004814,-429.575623,103.435310,1799.160400,0.006565,-0.008015,-0.014410,-367.454132,91.642311,900.273315,-0.018110,0.045497,-0.034543,-413.701660,180.301834,1146.647949,,,,,,
88,0,-0.015527,-0.780433,-0.004898,-429.582642,103.435249,1799.166138,0.006793,-0.007880,-0.014883,-367.485687,91.641319,900.254944,-0.018080,0.045647,-0.034660,-413.711426,180.312561,1146.652954,,,,,,
89,0,-0.015587,-0.780164,-0.004576,-429.590118,103.438271,1799.164185,0.006547,-0.007985,-0.014490,-367.467194,91.637405,900.266846,-0.018271,0.045493,-0.034401,-413.719177,180.299881,1146.645386,,,,,,
90,0,-0.015574,-0.780326,-0.004577,-429.592590,103.436752,1799.171265,0.006627,-0.007717,-0.014688,-367.483124,91.636940,900.260437,-0.018156,0.045544,-0.034514,-413.726166,180.313583,1146.644287,,,,,,
91,0,-0.015582,-0.780246,-0.004765,-429.578796,103.436676,1799.169556,0.006846,-0.007978,-0.014758,-367.480591,91.648552,900.259644,-0.018016,0.045507,-0.034419,-413.741913,180.305710,1146.643677,,,,,,
92,0,-0.015742,-0.780461,-0.004628,-429.592102,103.444786,1799.167114,0.010243,-0.005155,-0.020370,-367.720093,91.746933,900.097534,-0.018043,0.045623,-0.034581,-413.727814,180.311279,1146.650269,,,,,,
93,0,-0.015618,-0.780149,-0.004522,-429.596497,103.446800,1799.166382,0.006936,-0.007643,-0.015096,-367.519806,91.635071,900.243652,-0.018325,0.045592,-0.034469,-413.731750,180.312836,1146.645142,,,,,,
94,0,-0.016314,-0.780746,-0.003790,-429.527771,103.209572,1799.154541,0.006868,-0.007812,-0.014722,-367.497986,91.647514,900.254883,-0.018164,0.045567,-0.034478,-413.745453,180.314896,1146.646606,,,,,,
95,0,-0.016180,-0.780873,-0.003816,-429.527222,103.215378,1799.149170,0.006424,-0.007487,-0.014299,-367.493073,91.633339,900.268372,-0.018225,0.045634,-0.034435,-413.728912,180.307373,1146.645752,,,,,,
96,0,-0.016392,-0.780860,-0.003401,-429.540039,103.216316,1799.152222,0.006738,-0.007600,-0.014591,-367.507507,91.642685,900.261841,-0.018171,0.045412,-0.034430,-413.750397,180.313339,1146.638062,,,,,,
97,0,-0.015784,-0.780360,-0.004356,-429.592529,103.445473,1799.152710,0.005282,-0.010891,-0.011203,-367.179108,91.533257,900.327332,-0.018020,0.045634,-0.034491,-413.745544,180.309982,1146.643799,,,,,,
98,0,-0.015908,-0.780259,-0.004234,-429.601166,103.451355,1799.156250,0.006863,-0.008088,-0.014601,-367.488983,91.651077,900.254456,-0.018276,0.045649,-0.034417,-413.747009,180.306976,1146.646729,,,,,,
99,0,-0.015657,-0.780138,-0.004410,-429.597412,103.447136,1799.158203,0.006876,-0.007728,-0.014687,-367.519531,91.656456,900.252075,-0.018067,0.045635,-0.034404,-413.746887,180.305801,1146.649780,,,,,,
